country,description,points,price,province,taster_name,title,variety,winery,year
United States of America,"2014 proves another banner year for this delightful blend of Sémillon from Monte Rosso Vineyard, Muscadelle from Pagani Ranch and Palomino and Muscadelle from Saitone Ranch. High-toned in tart, refreshing acidity, it offers hints of vanilla biscuit with its lime, apple and melon flavors, lingering in memory for days.",94,28,California,Virginie Boone,Carlisle 2014 The Derivative White (Sonoma County),White Blend,Carlisle,2014
France,"Purists will no doubt object to this wine's fine patina of sophisticated, cedary oak, but there's plenty of high-quality fruit to back it up. Incorporating unusual proportions of 44% Grenache, 33% Mourvèdre and 23% Syrah, the fruit is ripe and lush, velvety-supple and medium to full in weight, without any sense of heaviness. Drink 2020–2030.",94,180,Rhône Valley,Joe Czerwinski,Château La Nerthe 2013 Cuvée des Cadettes Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Château La Nerthe,2013
France,"From one of the highest premier cru vineyards comes a wine that has a cool edge, generous fruit and firm tannins. Those elements come together with black cherry flavors and a dry core, promising a serious future. Drink from 2023.",94,85,Burgundy,Roger Voss,David Duband 2014 Aux Thorey Premier Cru  (Nuits-St.-Georges),Pinot Noir,David Duband,2014
France,"This wine manages to combine firm structure with the finely perfumed fruit associated with Chambolle-Musigny. It's rich, fruity, lifted by acidity and held together by solid tannins. Impressive and full bodied, it's a wine to age. Drink from 2024.",94,135,Burgundy,Roger Voss,David Duband 2014 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,David Duband,2014
Italy,"Underbrush, truffle, crushed herb and ripe black-skinned fruit aromas slowly take shape along with a waft of new leather. The bold palate shows mature black cherry, licorice, clove and tobacco framed in big velvety tannins. This is already tempting but will be even better in a few years. Drink 2020–2027.",94,125,Tuscany,Kerin O’Keefe,Le Ragnaie 2012 Fornace  (Brunello di Montalcino),Sangiovese,Le Ragnaie,2012
France,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",94,90,Burgundy,Roger Voss,Louis Jadot 2014 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,Louis Jadot,2014
Italy,"Baked plum, baking spice, blue flower and pipe tobacco meld together with earthy aromas of new leather and a whiff of underbrush on this impressive wine. The firmly structured palate offers dried black cherry, blackberry jam, dark chocolate and star anise. Firm velvety tannins envelope the palate. Drink 2019–2029.",94,154,Veneto,Kerin O’Keefe,Masi 2009 Campolongo di Torbe  (Amarone della Valpolicella Classico),Red Blend,Masi,2009
United States of America,"The winery's characteristic dense style is immediately apparent in this blend of 54% Syrah, 21% Mourvèdre, 16% Grenache and 9% Petite Sirah. It offers black licorice, smoked meat, baked black cherry and graphite aromas, needing time to breathe before unleashing black coffee, elderberry jam, asphalt and charcoal flavors through tarry tannins. Drink 2018–2028.",94,70,California,Matt Kettmann,Epoch Estate Wines 2013 Ingenuity Red (Paso Robles),Rhône-style Red Blend,Epoch Estate Wines,2013
United States of America,"From a 22-acre site in the middle of the appellation, this is an impressive wine, softened by the addition of 6% Merlot. It boasts crushed rock, black currant and licorice flavors, with an attractive sanguine note. Pencil shavings, black pepper and cigar accents are present throughout.",94,150,California,Virginie Boone,Freemark Abbey 2013 Cabernet Bosché Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Freemark Abbey,2013
Germany,"Initial whiffs of smoke and struck flint fade into pretty pineapple and blossom on the nose of this full-bodied, dry Riesling. Mango and tangerine flavors are riper and heftier on the palate than in many of the Mosel's 2015 Grosses Gewächs wines, neatly balanced by racy acidity and a backbone of cool steel. It's delicious already, but likely to evolve well through the 2020s at least.",94,56,Mosel,Anna Lee C. Iijima,Fritz Haag 2015 Brauneberg Juffer Sonnenuhr Trocken GG Riesling (Mosel),Riesling,Fritz Haag,2015
France,"Named after the 15th century owner of this estate, the wine comes from a selection of the best parcels. With impressive tannins, a dense structure and rich bold black fruits, this is a powerful wine. It is full of ripe fruit with a mineral texture and has a good future. Drink from 2021.",94,49,Southwest France,Roger Voss,Georges Vigouroux 2014 Château de Haute-Serre Cuvée Géron Dadine de Haute-Serre Malbec (Cahors),Malbec,Georges Vigouroux,2014
United States of America,"This wine from Rick Grimm and winemaker Paul Lato shows stunning potential for this new vineyard. Blackberry, thyme, black pepper and crushed slate aromas lead to a tremendously savory, umami-packed palate, where bay leaf and stewed mushroom notes envelop a core of blackberry and black currant fruit. The structure is solid, and the finish is long and strong.",94,72,California,Matt Kettmann,Grimm's Bluff 2014 Cliff Hanger Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Grimm's Bluff,2014
Italy,"At first shy and brooding, this slowly opens up in the glass, offering aromas of black-skinned berry, blue flower, licorice and flint. The palate has concentration and finesse, boasting chewy black cherry, blackberry, chopped mint, anise and mineral alongside firm acidity and lithe tannins. Give this time to fully develop. Drink 2017–2023.",93,48,Northeastern Italy,Kerin O’Keefe,Foradori 2013 Morei Teroldego (Vigneti delle Dolomiti),Teroldego,Foradori,2013
United States of America,"This is a standout, showing Napa Valley's true potential for the variety. Steely and light bodied in approach, it offers a lively complement of apricot and juicy green-apple flavors, finishing on a fresh fig note and feeling balanced and complete.",93,35,California,Virginie Boone,Joseph Phelps 2015 Estate Grown Sauvignon Blanc (St. Helena),Sauvignon Blanc,Joseph Phelps,2015
Italy,"Aromas of forest floor, baked plum, clove and a balsamic whiff of eucalyptus lead the nose. The firmly structured palate offers fleshy wild cherry, raspberry, star anise, tobacco and nutmeg alongside chewy tannins. Drink 2018–2024.",93,70,Tuscany,Kerin O’Keefe,Le Ragnaie 2012  Brunello di Montalcino,Sangiovese,Le Ragnaie,2012
France,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023.",93,132,Burgundy,Roger Voss,Louis Jadot 2014 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Jadot,2014
United States of America,"From a warm-climate zone in a cool vintage, this wine is fascinatingly savory. Black and white pepper, game meat, crushed graphite and espresso aromas promise an awesome sip. It delivers with black peppercorn, green olive, black plum skin and elderberry flavors.",93,38,California,Matt Kettmann,Mesa Del Sol 2011 Syrah (Arroyo Seco),Syrah,Mesa Del Sol,2011
Portugal,"From the historic Herdade do Mouchão in northern Alentejo, this is a powerful wine, full of dense tannins and impressively ripe, juicy black fruits. Syrah and Alicante Bouschet bring southern richness to Touriga Franca and Touriga Nacional. Drink this wine now.",93,20,Alentejo,Roger Voss,Mouchão 2012 Ponte das Canas Red (Alentejo),Portuguese Red,Mouchão,2012
United States of America,"A top-of-the-line effort and a departure from the producer's single-vineyard, 100% varietal bottlings, this blends 4% Malbec and 3% Merlot. Spicy with clove scents, it showcases deep cassis and cranberry flavors, with a lift of red fruit and supportive acidity.",93,175,California,Virginie Boone,Pine Ridge 2013 Fortis Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Pine Ridge,2013
United States of America,"Plump but sour cranberry fruit aromas meet with sweet sandalwood, clove and forest floor on the nose of this San Francisco-made bottling from the historic property. Sanguine touches on the palate lead to raspberry, cherry, cinnamon and juniper flavors, ending in a menthol finish.",93,36,California,Matt Kettmann,Sandler 2015 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Sandler,2015
United States of America,"The partner label of Black Cordon, also made by consulting winemaker Paul Hobbs, this entry-level offering blends small amounts of all the red Bordeaux varieties and ages in 80% new French oak. Tar and graphite scents and bold, soft acidity support juicy black and red berry flavors, with a shock of anise. Best enjoyed 2023 through 2033.",93,60,California,Virginie Boone,Sixteen by Twenty 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sixteen by Twenty,2013
United States of America,"From an estate vineyard, this impressive wine is earthy with tobacco leaf and juicy cherry and cassis notes. Soft, supple and lengthy, it lingers on the palate as a well-integrated, balanced and beautifully crafted expression of the grape.",93,110,California,Virginie Boone,Stone The Crows 2014 Three Twins Vineyard Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Stone The Crows,2014
United States of America,"Extremely luscious on the nose, this bottling is redolent of baked black cherries, vanilla, smoke and wet riverstones. That fruit-forward style carries over to the palate, with cherry pie and baking spice flavors, backed by a solid and an expertly balanced acidity that holds those rich flavors in check.",93,100,California,Matt Kettmann,Tolosa 2015 Hollister Edna Ranch Pinot Noir (Edna Valley),Pinot Noir,Tolosa,2015
Italy,"Mature plum, ripe berry, baking spice, underbrush and a balsamic note are some of the aromas you'll find on this full-bodied wine. On the chewy palate, notes of cinnamon, clove and licorice add depth to dried cherry and raspberry. Velvety tannins give it just enough tension and texture. Drink 2018–2024.",93,85,Tuscany,Kerin O’Keefe,Villa Poggio Salvi 2011 Riserva  (Brunello di Montalcino),Sangiovese,Villa Poggio Salvi,2011
United States of America,"This varietal Cabernet Sauvignon hails from the producer's organic Chiles Valley estate. It's muscular and lushly layered, with spicy leather and tobacco notes accented by a delicate touch of violet and supported by firm, grippy tannin. Drink now through 2033.",93,80,California,Virginie Boone,Volker Eisele Family Estate 2013 Sievers Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Volker Eisele Family Estate,2013
Chile,"There's no shortage of heavily charred oak, and early on it may seem a bit mulchy and leathery. But as it knits together and the fruit rises, you'll see that there's a compact, serious wine laying in wait. Flavors of blackberry, licorice and herbs are authentic and powerful. Clacky tannins make food almost mandatory.",86,12,Colchagua Valley,Michael Schachner,TerraNoble 2006 Reserva Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,TerraNoble,2006
United States of America,"This has light but sweet fruit flavor, leaning heavily toward strawberry and Bing cherry candy. The fruit is a bit mismatched to the tannins, which are thick and chewy, but with additional bottle age the middle may fill out somewhat. It's got a pretty, fruity entry and a substantial, slightly earthy finish; it's just that midpalate that falls a bit short.",86,20,Washington,Paul Gregutt,Arbor Crest 2004 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Arbor Crest,2004
Chile,"A solid wine with a good mix of herbal, cola and red-fruit aromas. It deals spanking red fruit flavors and a sprinkle of vanilla and chocolate on the racy finish. For a short, fresh and clean wine, Aresti's Cab makes the grade.",86,14,Rio Claro,Michael Schachner,Aresti 2005 Reserve Cabernet Sauvignon (Rio Claro),Cabernet Sauvignon,Aresti,2005
Australia,"This 60-40 blend features gentle aromas of vanilla and cassis in a medium-bodied, creamy-smooth format. It's not powerful or complex, but offers pure cassis and vanilla flavors tinged with chocolate on the finish. Good value.",85,12,South Australia,Joe Czerwinski,Wolf Blass 2005 Yellow Label Shiraz-Cabernet Sauvignon (South Australia),Shiraz-Cabernet Sauvignon,Wolf Blass,2005
Chile,"Big, bold, wild and dark, with mild burnt aromas backed by broad blackberry and plum flavors. This represents the fruity, thick style of Syrah, with additional notes of black olive and savory meat pie. It's not flawless but its pounding fruit character will earn its share of fans.",85,9,Maule Valley,Michael Schachner,Chilensis 2006 Reserva Syrah (Maule Valley),Syrah,Chilensis,2006
Chile,"Pungent and sharp, and that's exactly the style that Los Vascos has mastered in recent years. This wine tastes very much like a coastal, Casablanca Chardonnay yet it hails from Colchagua. The nose is pithy and citric, and the palate is more of the same. Good mouthfeel and fresh, but green, citrusy and too much like Sauvignon Blanc.",85,12,Colchagua Valley,Michael Schachner,Domaines Barons de Rothschild (Lafite) 2007 Los Vascos Chardonnay (Colchagua Valley),Chardonnay,Domaines Barons de Rothschild (Lafite),2007
Argentina,"Rather sweet and medicinal; the wine comes into form on the palate, which is fairly bright and forward as it pushes raspberry and cherry flavors. Acidity is on the high side, so the feel and finish have some burn. Could use some pizza or meat to help it along.",85,10,Mendoza Province,Michael Schachner,Finca Sophenia 2006 Altosur Cabernet Sauvignon (Tupungato),Cabernet Sauvignon,Finca Sophenia,2006
France,"A light wine, somewhat unfocused and lacking fruit intensity. But it is certainly pleasant, clean and fresh, with a definite green tinge and a citrus aftertaste.",85,19,Loire Valley,Roger Voss,Fournier Père et Fils 2006 Fournier  (Menetou-Salon),Sauvignon Blanc,Fournier Père et Fils,2006
New Zealand,"Shows plenty of weight on the palate, but also an overall lack of intensity to its slightly vegetal—green pea—flavors. Still, there's enough passion fruit and grapefruit to provide a sense of balance and a crisp, clean finish.",85,11,Marlborough,Joe Czerwinski,Barker's Marque 2007 Arona Sauvignon Blanc (Marlborough),Sauvignon Blanc,Barker's Marque,2007
Hungary,"The rich, spicy and savory nose evoke the food for which the country is known, and this wine would undoubtedly pair well with full-bodied, spiced meats and stews. Its full, spicy nose leads into dependable flavors of red berry, wooded spice and pepper, with a slightly bitter, smoked edge. Not a terribly complex wine, but solid and tasty nonetheless.",85,48,Villány,Susan Kostrzewa,Bock 2000 Cuvée Barrique Red (Villány),Bordeaux-style Red Blend,Bock,2000
New Zealand,"Offers herb, cranberry and cherry aromas upfront, followed by a medium-bodied palate that's cedary and herbal, but also shows some chunky cherry fruit. Finishes on oaky notes of coffee and chocolate.",85,23,Marlborough,Joe Czerwinski,Konrad 2006 Pinot Noir (Marlborough),Pinot Noir,Konrad,2006
New Zealand,"A soft, easy-to-drink Pinot Noir—even for Marlborough. Tannins are developed and supple, while the flavors lean toward caramel, cherry and sandalwood. Drink now.",85,16,Marlborough,Joe Czerwinski,Mana 2006 Pinot Noir (Marlborough),Pinot Noir,Mana,2006
Argentina,"Light, floral and somewhat out of the mold. Flavors of apricot, peach and mango are both fresh and fleshy, while the finish lingers for quite some time. Fairly forceful but restrained enough.",85,12,Other,Michael Schachner,Michel Torino 2007 Coleccion Chardonnay (Calchaquí Valley),Chardonnay,Michel Torino,2007
Argentina,"Round, nutty and smooth, with melon, citrus and apple flavors. In this wine's case, organic does not equal complexity. That said, what's here is clean and balanced, and there's more than enough fruit and intensity to satisfy.",85,10,Mendoza Province,Michael Schachner,Santa Julia 2007 Organica Chardonnay (Mendoza),Chardonnay,Santa Julia,2007
Argentina,"Timing is everything with this full-bodied PG. Get at it right away and it will still be almost viscous, but it should also show ripe tropical fruit flavors, core acidity and lots of personality. Just don't let it hang around for long, especially not at room temperature.",85,8,Mendoza Province,Michael Schachner,Santa Julia 2007 Pinot Grigio (Mendoza),Pinot Grigio,Santa Julia,2007
Chile,"The oak on this wine gives it a strong resin and cinnamon character. Along the way there's floral berry aromas, cherry and plum flavors, and finishing notes of root beer, chocolate and cough drops. A bit woody and tannic but it gets the job done.",85,12,Cachapoal Valley,Michael Schachner,San Pedro 2006 Castillo de Molina Reserva Cabernet Sauvignon (Cachapoal Valley),Cabernet Sauvignon,San Pedro,2006
United States of America,"The pretty fragrance comes with cotton candy highlights, along with a note of tangy red fruit. It's concentrated and deep, with appealing purity of flavor and the structure to age for over a decade.",92,60,Oregon,Paul Gregutt,Bergström 2010 Temperance Hill Pinot Noir (Eola-Amity Hills),Pinot Noir,Bergström,2010
France,"A rich, full-bodied wine from one of the masters of Tannat, Pierre Laplace, this has ripe tannins and layers of toast, black plum and berry, with intense acidity on the finish.",92,15,Southwest France,Roger Voss,Château d'Aydie 2010 Madiran Laplace Tannat (Madiran),Tannat,Château d'Aydie,2010
France,"Made using fruit sourced from a parcel of vines more than 60 years old, this is a dense, dark wine, with herb, dark fig and plum notes. Solid and concentrated, it has a firm texture, and the dusty tannins match well with the ripe fruit. Age for 7–8 years.",92,35,Southwest France,Roger Voss,Château de Gaudou 2009 Réserve Caillou Malbec (Cahors),Malbec,Château de Gaudou,2009
Chile,"Gê is one of Chile's perennial best blends. It mixes Syrah, Carmenère and Cabernet Sauvignon into a lovable, complex whole. The nose is spicy yet suave, with cool berry, herb and olive aromas. It feels fresh, full and clean, with olive, pepper, cherry, cassis, coffee and chocolate flavors on the palate and finish. Only 452 cases made; drink now–2017.",92,92,Colchagua Valley,Michael Schachner,Emiliana 2009 Gê Red (Colchagua Valley),Red Blend,Emiliana,2009
France,"Made using fruit that was sourced from vines planted in 1939, this wine shows the great concentration low yields and old vines can give. It has Gamay's natural freshness, with firm, dry tannins, a spice note and a fragrant finish. It's drinkable now, but it will be better in two years.",92,35,Beaujolais,Roger Voss,Pascal Aufranc 2011 Vignes de 1939  (Chénas),Gamay,Pascal Aufranc,2011
United States of America,"The mysteriously named Inchinnan offers a flavorful mix of mint, berry, cherry, milk chocolate, Asian spice, cedar and cola. It's harmonious, with subtle power and excellent length.",92,54,Oregon,Paul Gregutt,Carabella 2010 Inchinnan Pinot Noir (Chehalem Mountains),Pinot Noir,Carabella,2010
France,"Aromatic hints of new wood translate onto the smooth palate. It has smoke and black currant flavors, with tannins that are already well integrated. Attractive acidity gives this a final lift. Keep it for 5–6 years.",92,16,Bordeaux,Roger Voss,Château Blaignan 2010  Médoc,Bordeaux-style Red Blend,Château Blaignan,2010
France,"A new-wood-dominated wine, this has a heavy toast character, with extracted licorice and dark chocolate flavors as well as a big black-plum note. Rich and weighty, with juicy acidity, this demands many years of aging.",92,35,Southwest France,Roger Voss,Château d'Aydie 2009 Tannat (Madiran),Tannat,Château d'Aydie,2009
France,"A powerful, wood-aged wine, this shows weighty black fruit and a toasty character. It is concentrated and solid, yet it has a soft and rich side as well.  The tarry, tannic character needs at least four years to soften.",92,26,Southwest France,Roger Voss,Château de Gaudou 2010 Renaissance Malbec (Cahors),Malbec,Château de Gaudou,2010
Chile,"The nose is an attractive mix of cassis and mineral notes. The palate is more racy and wiry than dense and soft, with juicy, flashy flavors of berry, cherry and currant. Those notes all carry through to the long finish; drink from 2013–2018.",92,38,Maipo Valley,Michael Schachner,Concha y Toro 2009 Terrunyo Vineyard Selection Block Las Terrazas Unfiltered Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Concha y Toro,2009
France,"One of a pair of gorgeous Petit Manseng-based dessert wines by Claude Loustalot, this has richness but also lightness from the fresh acidity. This is fruity and fragrant, with a peach-like crispness, and it's worth keeping for another 3–4 years.",92,50,Southwest France,Roger Voss,Domaine Bru-Baché 2008 La Quintessence  (Jurançon),Petit Manseng,Domaine Bru-Baché,2008
Chile,"Aromas of lead pencil, cassis, violet petal and smoky chocolate are complex and attractive. The palate of this Cabernet Sauvignon-led blend is tight, pure and rich, and the flavors of toasty black fruits carry accents of licorice and coffee. The finish is spicy, with a licorice note, and the wine's tannic composition suggests that aging is appropriate. Drink from 2014–2020.",92,29,Cachapoal Valley,Michael Schachner,Lagar de Bezana 2010 Aluvion Gran Reserva Ensamblaje Red (Cachapoal Valley),Red Blend,Lagar de Bezana,2010
United States of America,"A huge step up from the previous vintage, this ripe, round and wonderfully fruity effort is a juicy, mineral-soaked bottle of joy. Luscious cherry fruit is topped with a dollop of butterscotch.",92,48,Oregon,Paul Gregutt,Rex Hill 2010 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill,2010
Chile,"There's a lot to like about this dense, deep, lush and totally ripe blend of 60% Petit Verdot plus smaller doses of Cabernet, Carmenère, Malbec and Mourvèdre. It glistens in the glass and shows plush aromatics and generous flavors of berry, plum, chocolate and spice. Toasty and smooth on the finish. Drink this excellent blend now–2018.",92,40,Cachapoal Valley,Michael Schachner,Santa Carolina 2009 VSC Red (Cachapoal Valley),Red Blend,Santa Carolina,2009
United States of America,"A new addition to Steven Kent's lineup of exemplary Cabernets, this is 100% Cabernet from Ghielmetti Vineyard, one of Kent's favorite pieces of Livermore ground. The wine is concentrated and rich, with heady notes of dark cherry, cinnamon and clove, plus a trace of mint hiding in the background. This will please fans of California and Bordeaux wines.",92,100,California,Virginie Boone,Steven Kent 2009 The Premier Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Steven Kent,2009
Italy,"Aromas of acacia, mature apple, hazelnut and an unusual balsamic note lead the nose. The palate is already evolved and has lost most of its fruit richness and freshness, offering instead honeyed mineral, toasted nut and a hint of dried citrus peel.",86,21,Sicily & Sardinia,Kerin O’Keefe,Hauner 2015 Hierà Rosé (Terre Siciliane),Rosé,Hauner,2015
Portugal,There is an attractive spiciness to this clean warm wine. White currants and acidity add to the approachability of a wine that is ready to drink.,86,14,Alentejano,Roger Voss,Herdade do Esporão 2016 Defesa Branco White (Alentejano),Portuguese White,Herdade do Esporão,2016
Portugal,This is a really refreshing style of rosé. Its fruity raspberry and red-currant flavors are shot through with fine acidity and a lively crisp aftertaste. Drink this attractive wine now.,86,13,Alentejano,Roger Voss,J. Portugal Ramos 2016 Pouca Roupa Rosé (Alentejano),Rosé,J. Portugal Ramos,2016
United States of America,"This solid, well-made wine has pleasant apple and pear flavors, light herbal accents, medium body and a smooth texture.",86,15,California,Jim Gordon,Jack's House 2015 Chardonnay (California),Chardonnay,Jack's House,2015
Spain,"This wine's melon and mango aromas come with an oily note of lanolin. It feels lazy on the palate, with just enough acidity to maintain freshness. Mild tropical fruit flavors turn yeasty on its hollow finish. Drink immediately.",86,15,Catalonia,Michael Schachner,Jean León 2015 3055 Chardonnay (Penedès),Chardonnay,Jean León,2015
Spain,"Cherry and blackberry aromas come with spice and cool note of cola in this Monatrell-Syrah blend. It's narrow and tannic, with black fruit and desert herb flavors that finish dry and rubbery.",86,9,Levante,Michael Schachner,Bodegas Luzón 2014 Luzón Red (Jumilla),Red Blend,Bodegas Luzón,2014
Spain,"This wine's charred nose suggests over-the-top oak. The palate is a rough road of hard grape skin tannins. Char and clove flavors blanket its savory, meaty berry fruit, finishing woody and redolent of clove.",85,17,Central Spain,Michael Schachner,Volver 2014 Single Vineyard Tempranillo (La Mancha),Tempranillo,Volver,2014
France,"This wood aged Chenin Blanc has a strongly oxidative character. It has lost its fruit in favor of grilled almonds, toast and intense acidity. Drink this mature wine now.",85,34,Loire Valley,Roger Voss,Château de Chaintres 2013 Clos des Oratoriens  (Saumur),Chenin Blanc,Château de Chaintres,2013
France,"In the Boissonneau family since 1839, this southern Entre-Deux-Mers vineyard gives a crisp, herbal wine with light fruit and attractive acidity. It has lemon and grapefruit flavors, bright with a crisp aftertaste. Drink now.",85,20,Bordeaux,Roger Voss,Château de la Vieille Tour 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château de la Vieille Tour,2016
France,"The Mottet family bought this chateau in 2009 and has been in renovation mode: chateau, winery, vast vineyards and placement of a dramatic 40-foot steel rooster in the vineyard. This wine is refreshing, lively and crisp, with plenty of acidity. It reveals spice, apples and lime flavors along with a more mineral side. The wine is ready to drink.",85,12,Bordeaux,Roger Voss,Château la France 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château la France,2016
France,"Light and fruity, this is a crisp wine with good acidity. a tangy character and a yeasty edge. Drink now.",85,15,Bordeaux,Roger Voss,Château Lauduc 2016 Rosé (Bordeaux Rosé),Rosé,Château Lauduc,2016
United States of America,Barrel toast and smoky gunpowder scents give this wine a savory edginess before revealing medium-bodied layers of baked blackberry and cherry.,85,11,California,Virginie Boone,Cline 2015 Syrah (Sonoma County),Syrah,Cline,2015
Spain,"The tomato and plum aromas in this Garnacha blend are a bit soupy. Its chunky palate is heavy with generic berry fruit and a touch of oxidation. A solid, middle-of-the-road pour.",85,10,Catalonia,Michael Schachner,Clos de Nit 2015 Red (Montsant),Red Blend,Clos de Nit,2015
Portugal,"This is a crisp, clean and refreshing wine. There is just the lightest sense of tannin giving the wine a zingy edge. Other than that, it is red-berry fruits all the way. Drink now.",85,9,Lisboa,Roger Voss,DFJ Vinhos 2016 Bigode Rosé (Lisboa),Rosé,DFJ Vinhos,2016
Portugal,"This is a delicious and ripe-fruited wine. Dominated by Fernão Pires, it has an apple-puree texture: smooth and creamy. The wine has an edge of light acidity at the end to give it a lift. Drink now.",85,10,Lisboa,Roger Voss,DFJ Vinhos 2016 Casa do Lago Branco White (Lisboa),Portuguese White,DFJ Vinhos,2016
Romania,"This wine is light straw-colored, with aromas of lemon blossom, lemongrass and freshly cut lawn. Flavors of peach, passion fruit and melon finish with a touch of residual sweetness.",85,10,Jidvei,Jeff Jenssen,Jidvei 2015 Nec Plus Ultra Demisec Sauvignon Blanc (Jidvei),Sauvignon Blanc,Jidvei,2015
Italy,Delicate scents of spring blossom and citrus carry over to the bright simple palate along with sour cherry. Zesty acidity gives it tangy finish.,85,14,Southern Italy,Kerin O’Keefe,Orion Wines 2016 The Wanted Zin Blush Rosato (Puglia),Rosato,Orion Wines,2016
Spain,"This varietal Xarello feels more flat than vivid. It has fleshy yet generic white fruit aromas, ripe melon flavors and a tired finish.",85,20,Catalonia,Michael Schachner,Raventós de Alella 2015 Tina 20 Pansa Blanca (Alella),Pansa Blanca,Raventós de Alella,2015
Chile,"Melon, wood spice and vanilla aromas are common for this level of Chilean Chardonnay. A plump palate is low on acidity, while this tastes of pear, oak and skins-based bitterness. A woody tasting finish is adequate.",85,15,Colchagua Valley,Michael Schachner,Rubus 2016 Chardonnay (Colchagua Valley),Chardonnay,Rubus,2016
Portugal,"This simple and fruity wine is made to be drunk young. And with its red fruits, light acidity and crisp texture, it succeeds. Drink the wine with summer barbecues.",85,7,Lisboa,Roger Voss,Sanguinhal 2016 Cerejeiras Tinto Red (Lisboa),Portuguese Red,Sanguinhal,2016
Chile,"Wiry currant and plum aromas show a touch of oak in this value-priced wine. It feels somewhat chunky on the palate, with scraping tannins. Herbal plum flavors finish gamy and with a mild note of oaky clove.",85,8,Central Valley,Michael Schachner,Santa Rita 2016 120 Reserva Especial Carmenère (Central Valley),Carmenère,Santa Rita,2016
Chile,"Briny saltwater aromas dominate a mild mostly fruitless nose. This feels basic and round, with a lemony streak. Mild nectarine flavors don't amount to much, while this is simple and generic on the finish.",85,10,Central Valley,Michael Schachner,Valdivieso 2016 Sauvignon Blanc (Central Valley),Sauvignon Blanc,Valdivieso,2016
Italy,"Subtly scented, this opens with aromas of citrus zest, spring flower and wild berry. It's fresh and informal, with light strawberry and sour-cherry flavors supported by fresh acidity.",85,20,Veneto,Kerin O’Keefe,Villa Cordevigo 2016 Heaven Scent  (Bardolino Chiaretto),Rosato,Villa Cordevigo,2016
Portugal,"The blend of Fernão Pires and Arinto is a classic for the region. It gives a light and perfumed wine with a creamy texture and plenty of balancing acidity. Bright and fruity, the wine has just a final tang to add crispness. Drink now.",85,12,Península de Setúbal,Roger Voss,Wines & Winemakers 2016 Casa Ermelinda Freitas Monte da Baía Branco White (Península de Setúbal),Portuguese White,Wines & Winemakers,2016
Portugal,"This is an open and ready-to-drink wine that has soft tannins and juicy blackberry fruit. With 50% Aragonez in the blend, it is has a smooth character that brings out plenty fruit and not too much structure. Drink now.",85,8,Alentejo,Roger Voss,Adega Cooperativa de Borba 2016 Cuvée B Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba,2016
Italy,"Made with Nero di Troia grapes, this has aromas of wild rose, citrus peel and a whiff of Mediterranean brush. The bright informal palate offers sour cherry and strawberry accompanied by zesty acidity.",85,18,Southern Italy,Kerin O’Keefe,Botromagno 2016 Rosé di Lulu Rosato (Murgia),Rosato,Botromagno,2016
